modelName,inputTokenPrice,outputTokenPrice
ai21.j2-mid-v1,0.0125,0.0125	
ai21.j2-ultra-v1,0.0188,0.0188	
amazon.titan-text-lite-v1,0.00015,0.0002	
amazon.titan-text-express-v1,0.0002,0.0006	
amazon.titan-embed-text-v1,0.0001,0	
amazon.titan-embed-text-v2:0,0.00002,0	
amazon.titan-image-generator-v1_512x512,0.008,0.01
amazon.titan-image-generator-v1_1024x1024,0.01,0.012
amazon.titan-embed-image-v1,0.0008,0.00006	
anthropic.claude-instant-v1,0.0008,0.0024	
anthropic.claude-v2,0.008,0.024
anthropic.claude-v2:1,0.008,0.024	
anthropic.claude-3-opus-20240229-v1:0,0.015,0.075	
anthropic.claude-3-sonnet-20240229-v1:0,0.003,0.015	
anthropic.claude-3-haiku-20240307-v1:0,0.00025,0.00125	
cohere.command-text-v14,0.0015,0.0020	
cohere.command-light-text-v14,0.0003,0.0006	
cohere.command-r-plus-v1:0,0.0030,0.0150	
cohere.command-r-v1:0,0.0005,0.0015	
cohere.embed-english-v3,0.0001,0	
cohere.embed-multilingual-v3,0.0001,0	
meta.llama3-8b-instruct-v1:0,0.0004,0.0006	
meta.llama3-70b-instruct-v1:0,0.00265,0.0035	
meta.llama2-13b-chat-v1,0.00075,0.001	
meta.llama2-70b-chat-v1,0.00195,0.00256	
mistral.mistral-7b-instruct-v0:2,0.00015,0.0002	
mistral.mixtral-8x7b-instruct-v0:1,0.00045,0.0007	
mistral.mistral-large-2402-v1:0,0.008,0.024	
stability.stable-diffusion-xl-v1,0.04,0.08